"listing_id","suburb","tipo","quartos","banheiros","camas","hospedes","dias_calendario","preco_medio","limpeza","min_noites","n_reviews","guest_favorite","instant_book","professional","superhost","star_rating","months_host"
"26839303","Meia Praia","apartamento","2","2","2","8","52","703.48","200","0","29","true","false","false","true","4.86","6"
"45513430","Meia Praia","apartamento","3","2","3","8","89","782.92","250","0","14","true","false","false","false","4.86","3"
"53474066","Centro","apartamento","3","2","3","7","39","882.31","200","0","15","false","false","false","false","4.67","1"
"14884678","Meia Praia","apartamento","3","2","3","6","42","573.57","250","0","20","false","false","false","false","4.7","2"
"16570256","Meia Praia","apartamento","3","3","7","10","47","497.89","250","0","13","false","false","false","false","4.77","0"
"53190433","Centro","apartamento","3","2","3","8","39","820.51","350","0","20","false","false","false","false","4.7","9"
"1207335703563012811","Centro","apartamento","1","1","1","2","82","436.14","150","0","1","false","true","true","false","5","1"
"22306996","Meia Praia","apartamento","2","2","3","5","30","213.17","220","0","15","true","false","false","true","5","0"
"779104726998664227","Meia Praia","apartamento","2","2","5","6","38","412","250","0","16","true","false","false","true","4.94","1"
"766052072199682693","Meia Praia","apartamento","1","2","3","6","57","645.33","200","0","23","false","false","false","true","4.78","4"
"31059537","Centro","apartamento","3","2","5","8","78","821.27","250","0","61","true","true","false","true","4.98","0"
"45889892","Meia Praia","apartamento","2","2","4","6","60","622.64","250","0","58","true","false","false","true","4.98","2"
"29739100","Meia Praia","apartamento","3","2","3","7","89","732.9","350","0","19","true","true","false","false","5","4"
"1084601543056055517","Meia Praia","apartamento","4","3","8","12","63","1357.08","400","0","7","true","false","false","true","5","10"
"1193414131980072087","Centro","apartamento","2","1","3","6","66","691.15","240","0","16","true","true","true","false","4.94","1"
"53133732","Meia Praia","apartamento","2","2","3","6","82","784.46","350","0","10","true","false","true","false","5","0"
"1262982199583014782","Centro","apartamento","2","1","3","6","83","758.24","240","0","9","false","true","true","false","4.67","1"
"963916345061155113","Meia Praia","apartamento","3","3","7","13","35","1359.01","300","0","18","true","false","true","true","5","4"
"21397811","Meia Praia","apartamento","3","2","8","8","68","695.59","350","0","19","true","false","false","false","4.89","2"
"1057137469420115073","Morretes","apartamento","2","2","3","6","78","728.95","400","0","28","true","true","true","false","4.96","1"
"44425260","Meia Praia","apartamento","2","2","5","8","66","496.62","350","0","6","false","false","false","false","5","5"
"721143022842232721","Meia Praia","apartamento","3","2","3","8","59","501.94","200","0","13","false","false","false","false","4.46","3"
"798609957167332367","Meia Praia","apartamento","2","2","4","6","72","676.39","250","0","5","false","false","false","false","5","0"
"863830918159371125","Casa Branca","apartamento","3","1","5","6","67","329.46","60","0","44","false","true","true","true","4.73","0"
"1028988415727336651","Meia Praia","apartamento","1","1","1","4","70","561.98","200","0","1","false","false","false","false","5","1"
"23343001","Meia Praia","apartamento","3","3","3","8","71","569.01","250","0","80","true","false","false","false","4.89","10"
"30105402","Meia Praia","apartamento","3","2","4","8","91","769.12","350","0","12","false","false","false","false","4.75","1"
"984846668146064982","Ilhota","casa","4","5","4","10","53","1035.85","300","0","4","false","false","false","false","5","3"
"46755580","Casa Branca","casa","1","1","1","2","58","300","150","0","11","false","false","false","false","4.91","1"
"1219597802580113056","Centro","apartamento","1","1","2","4","78","601.79","190","0","6","false","true","true","false","4.83","1"
"1053425333694349352","Varzea","casa","1","1","1","4","48","195.73","150","0","22","true","false","false","true","5","0"
"21077682","Meia Praia","apartamento","4","3","8","10","57","801.08","300","0","31","true","false","false","true","4.97","3"
"45711835","Meia Praia","apartamento","4","2","6","10","13","900","280","0","17","true","true","false","false","4.94","3"
"985716714802993034","Morretes","apartamento","2","2","2","4","48","417.5","290","0","12","true","false","false","false","5","3"
"27201205","Meia Praia","apartamento","3","2","6","10","37","691.89","390","0","56","false","false","false","true","4.88","5"
"790518755885066166","Centro","apartamento","3","4","3","6","51","812.16","0","0","6","true","false","false","false","5","0"
"12359560","Meia Praia","apartamento","3","3","4","6","51","684.33","295","0","29","false","false","false","false","4.79","9"
"39059902","Meia Praia","apartamento","3","2","6","8","78","599.26","200","0","14","false","true","false","false","4.86","1"
"1260073533686146608","Centro","apartamento","1","1","1","2","76","430.02","150","0","12","true","true","true","false","4.75","1"
"45382246","Centro","apartamento","5","4","7","12","38","648.54","250","0","32","false","false","false","false","4.63","4"
"52826190","Morretes","casa","2","1","4","6","38","321.69","250","0","12","true","false","false","true","4.75","11"
"31397917","Meia Praia","apartamento","1","1","1","3","15","2173.33","0","0","213","true","false","false","false","4.9","0"
"46072703","Meia Praia","apartamento","3","3","5","8","45","728.72","300","0","14","false","false","false","true","5","2"
"32185033","Sertao do Trombudo","casa","4","4","8","15","41","1273.17","500","0","28","true","false","false","true","4.93","11"
"703538637731385185","Meia Praia","apartamento","2","1","3","6","76","409.89","0","0","22","true","<NA>","","true","4.82","4"
"766156195693050227","Meia Praia","apartamento","5","5","5","16","53","1837.14","550","0","16","true","false","true","false","4.94","0"
"48109229","Meia Praia","apartamento","2","2","3","6","73","546.93","180","0","15","false","false","false","false","4.67","0"
"1019756845213291605","Centro","outros","1","1","1","2","72","173.33","150","0","16","true","false","false","true","5","5"
"2951220","Tabuleiro dos Oliveiras","apartamento","3","2","4","5","85","789.67","200","0","236","false","false","false","true","4.88","8"
"22383070","Meia Praia","apartamento","2","2","4","6","40","321.3","200","0","36","true","false","false","false","4.94","1"
"48080102","Meia Praia","apartamento","3","2","6","8","45","463.78","250","0","17","false","true","false","false","4.94","11"
"45911573","Meia Praia","apartamento","3","3","3","8","35","1002.69","350","0","11","true","false","false","false","4.82","0"
"40246675","Meia Praia","apartamento","2","1","4","7","44","332.83","150","0","38","true","true","false","false","4.82","1"
"873255393900331818","Meia Praia","apartamento","3","2","3","6","79","725.89","200","0","20","false","true","true","true","4.75","5"
"1187772975255244525","Centro","apartamento","1","1","1","2","67","404.05","150","0","23","true","true","true","false","4.87","1"
"38319706","Meia Praia","apartamento","3","2","6","7","80","571.75","350","0","40","true","false","false","false","5","4"
"41285546","Meia Praia","apartamento","3","2","3","8","91","610.86","200","0","37","true","false","false","false","4.97","0"
"1025356251415331533","Morretes","apartamento","2","2","5","5","36","366.67","250","0","27","true","false","false","true","5","11"
"628897724940732017","Meia Praia","apartamento","4","3","4","10","25","969","250","0","21","true","false","false","false","4.95","2"
"47326216","Meia Praia","apartamento","3","2","3","8","87","1148.28","280","0","8","true","false","false","true","5","10"
"17013106","Morretes","apartamento","4","4","6","8","59","1770.34","350","0","29","false","false","false","false","4.66","11"
"43379132","Meia Praia","apartamento","2","2","3","5","26","415.27","250","0","48","true","true","false","true","4.98","4"
"29761442","Meia Praia","apartamento","3","2","3","7","11","531.82","200","0","28","true","false","false","false","4.96","2"
"721635424816164605","Meia Praia","apartamento","3","4","3","8","59","750.67","310","0","14","true","false","false","true","5","3"
"52172003","Centro","apartamento","2","2","4","6","42","317","610","0","25","true","true","false","false","5","0"
"45531969","Meia Praia","apartamento","3","2","6","8","53","652.88","300","0","31","true","false","false","true","5","2"
"735732850757918650","Meia Praia","apartamento","3","2","3","6","35","1304.17","200","0","15","false","true","true","true","4.73","5"
"48243472","Centro","apartamento","3","3","5","8","60","1403.66","550","0","49","true","true","false","true","5","7"
"31278015","Meia Praia","apartamento","3","2","6","8","56","504.29","250","0","14","false","false","false","false","4.43","0"
"40039627","Centro","apartamento","1","1","2","3","84","335.25","35","0","504","false","true","true","true","4.84","0"
"51403736","Meia Praia","outros","1","1","1","2","55","165.89","100","0","26","true","false","false","false","5","5"
"915332897455058900","Meia Praia","apartamento","3","3","3","6","68","1075","472","0","32","false","true","true","false","4.72","1"
"1197121947398131654","Centro","apartamento","1","1","1","2","73","397.77","170","0","21","false","true","true","false","4.67","1"
"1269623861253689862","Centro","apartamento","1","1","1","3","65","417.76","190","0","3","false","true","true","false","5","1"
"1131810056799937593","Tabuleiro dos Oliveiras","apartamento","3","2","4","6","81","801.09","456","0","5","true","true","true","false","5","1"
"38616586","Meia Praia","apartamento","3","2","3","8","38","371.55","300","0","7","false","false","false","false","5","9"
"1053522951026570547","Canto da Praia","apartamento","2","2","3","6","86","684.95","250","0","12","false","false","false","false","4.83","11"
"21743476","Meia Praia","apartamento","3","3","3","7","56","692.08","250","0","18","false","false","false","false","4.78","1"
"21091876","Meia Praia","apartamento","3","2","3","6","91","773.99","350","0","11","false","false","false","false","4.91","8"
"791313913845076166","Meia Praia","apartamento","4","2","6","8","50","850","300","0","6","true","false","false","false","5","0"
"16662563","Meia Praia","apartamento","4","3","7","11","62","1728","350","0","56","false","false","true","true","4.88","0"
"1033202997223117530","Meia Praia","apartamento","4","3","7","12","29","1938.89","450","0","17","true","true","false","true","5","1"
"728531681504670920","Tabuleiro dos Oliveiras","apartamento","2","2","6","10","37","151.87","250","0","55","true","false","false","true","4.84","3"
"53825192","Meia Praia","apartamento","3","3","4","7","50","829.41","200","0","65","true","false","true","true","4.89","5"
"1213824251801309412","Meia Praia","apartamento","3","3","4","6","72","1083.91","456","0","6","false","true","true","false","4.5","1"
"1320995339425720277","Centro","apartamento","2","1","3","4","87","623.63","200","0","1","false","true","true","false","5","1"
"795495744056169046","Meia Praia","apartamento","3","2","5","8","66","909.09","450","0","39","true","false","false","true","4.95","11"
"31441134","Meia Praia","apartamento","4","4","4","11","103","1525.81","450","0","9","false","false","false","false","5","11"
"37118794","Meia Praia","apartamento","3","2","4","6","62","1002.77","350","0","6","false","false","false","false","5","3"
"38957661","Meia Praia","apartamento","3","3","3","8","55","559.27","350","0","23","true","false","false","false","4.83","0"
"53325047","Meia Praia","apartamento","2","2","2","6","50","484.5","250","0","20","true","true","false","true","4.9","2"
"30153564","Meia Praia","apartamento","2","0","3","6","55","440.93","300","0","39","true","false","false","true","4.9","1"
"3263701","Meia Praia","apartamento","4","4","4","12","26","1488.46","250","0","42","false","false","false","false","4.9","7"
"605748852048435444","Meia Praia","apartamento","3","2","3","6","61","436.27","250","0","33","true","false","false","true","5","8"
"40391575","Morretes","apartamento","2","2","2","4","7","10000","190","0","46","false","true","false","false","4.78","1"
"645092818132652927","Meia Praia","apartamento","2","1","2","6","29","359.14","150","0","38","true","false","false","true","4.95","7"
"51990592","Meia Praia","apartamento","3","2","7","12","60","954.88","250","0","44","true","false","true","true","4.93","4"
"26895628","Meia Praia","apartamento","4","3","5","12","40","955","300","0","99","false","false","false","false","4.8","5"
"1195858349379362032","Centro","apartamento","3","3","3","8","65","816.13","330","0","17","false","false","false","true","4.71","3"
"809946874989632205","Sertao do Trombudo","casa","1","1","1","2","75","380.01","150","0","24","true","true","false","true","5","11"
"51405106","Meia Praia","apartamento","3","3","5","8","74","861.62","280","0","32","false","false","false","true","4.88","5"
"1249919049392818339","Meia Praia","apartamento","1","1","1","2","91","607.38","250","0","9","true","true","true","false","5","1"
"639216644351145145","Meia Praia","apartamento","5","5","6","14","16","962.5","450","0","29","true","true","false","true","4.97","4"
"718922870189236806","Meia Praia","apartamento","5","4","5","16","29","2182.76","500","0","13","true","false","false","false","5","3"
"792184367926408145","Meia Praia","apartamento","2","2","3","6","57","396.93","230","0","23","true","true","false","false","5","0"
"610155932497817911","Canto da Praia","apartamento","2","1","3","5","65","518","200","0","85","true","false","true","true","4.88","0"
"40351988","Meia Praia","apartamento","3","2","4","7","52","359.65","200","0","35","true","false","false","true","4.91","0"
"894985131313802009","Meia Praia","apartamento","3","2","3","8","68","664.96","484","0","6","false","true","true","false","4.33","1"
"46048941","Meia Praia","apartamento","2","2","4","6","34","371.82","250","0","58","false","false","false","true","4.91","0"
"46550767","Meia Praia","apartamento","3","2","5","8","47","758.95","200","0","42","true","false","false","false","4.81","1"
"832123000813215722","Meia Praia","apartamento","0","1","1","4","87","507.11","120","0","13","false","false","false","true","4.85","6"
